Vardas         Pavarde        Galutinis(Vid.)     
Vardas806      Pavarde806     4.47                
Vardas373      Pavarde373     3.93                
Vardas372      Pavarde372     4.40                
Vardas809      Pavarde809     2.93                
Vardas81       Pavarde81      3.47                
Vardas810      Pavarde810     2.60                
Vardas369      Pavarde369     4.60                
Vardas812      Pavarde812     2.33                
Vardas367      Pavarde367     3.47                
Vardas363      Pavarde363     2.07                
Vardas815      Pavarde815     4.40                
Vardas816      Pavarde816     4.27                
Vardas817      Pavarde817     4.73                
Vardas361      Pavarde361     4.67                
Vardas36       Pavarde36      3.60                
Vardas82       Pavarde82      4.00                
Vardas358      Pavarde358     2.07                
Vardas821      Pavarde821     4.53                
Vardas355      Pavarde355     1.67                
Vardas352      Pavarde352     4.53                
Vardas824      Pavarde824     2.40                
Vardas351      Pavarde351     4.47                
Vardas826      Pavarde826     4.53                
Vardas35       Pavarde35      3.07                
Vardas828      Pavarde828     4.67                
Vardas347      Pavarde347     3.33                
Vardas83       Pavarde83      4.07                
Vardas830      Pavarde830     3.80                
Vardas345      Pavarde345     4.53                
Vardas832      Pavarde832     3.33                
Vardas833      Pavarde833     4.40                
Vardas834      Pavarde834     4.13                
Vardas344      Pavarde344     3.60                
Vardas342      Pavarde342     2.67                
Vardas341      Pavarde341     4.87                
Vardas34       Pavarde34      3.33                
Vardas839      Pavarde839     3.07                
Vardas84       Pavarde84      3.40                
Vardas339      Pavarde339     3.33                
Vardas338      Pavarde338     3.27                
Vardas332      Pavarde332     4.60                
Vardas330      Pavarde330     2.53                
Vardas33       Pavarde33      2.40                
Vardas845      Pavarde845     3.93                
Vardas846      Pavarde846     4.73                
Vardas329      Pavarde329     4.07                
Vardas848      Pavarde848     4.67                
Vardas849      Pavarde849     4.80                
Vardas85       Pavarde85      2.20                
Vardas850      Pavarde850     4.73                
Vardas324      Pavarde324     4.80                
Vardas852      Pavarde852     2.93                
Vardas853      Pavarde853     2.53                
Vardas321      Pavarde321     2.67                
Vardas855      Pavarde855     3.47                
Vardas856      Pavarde856     4.87                
Vardas312      Pavarde312     2.87                
Vardas310      Pavarde310     4.60                
Vardas859      Pavarde859     2.73                
Vardas308      Pavarde308     3.60                
Vardas860      Pavarde860     3.53                
Vardas307      Pavarde307     1.93                
Vardas303      Pavarde303     2.53                
Vardas863      Pavarde863     2.07                
Vardas302      Pavarde302     3.87                
Vardas865      Pavarde865     4.27                
Vardas300      Pavarde300     2.07                
Vardas3        Pavarde3       3.87                
Vardas868      Pavarde868     4.80                
Vardas299      Pavarde299     3.87                
Vardas297      Pavarde297     2.73                
Vardas870      Pavarde870     3.13                
Vardas296      Pavarde296     2.80                
Vardas872      Pavarde872     3.20                
Vardas294      Pavarde294     3.87                
Vardas289      Pavarde289     3.47                
Vardas287      Pavarde287     3.73                
Vardas876      Pavarde876     3.60                
Vardas877      Pavarde877     3.53                
Vardas878      Pavarde878     4.40                
Vardas281      Pavarde281     3.80                
Vardas88       Pavarde88      4.13                
Vardas277      Pavarde277     2.00                
Vardas275      Pavarde275     3.40                
Vardas274      Pavarde274     2.53                
Vardas883      Pavarde883     3.67                
Vardas273      Pavarde273     2.87                
Vardas885      Pavarde885     4.93                
Vardas271      Pavarde271     4.67                
Vardas887      Pavarde887     3.53                
Vardas270      Pavarde270     4.33                
Vardas269      Pavarde269     2.80                
Vardas89       Pavarde89      4.13                
Vardas268      Pavarde268     3.20                
Vardas263      Pavarde263     4.47                
Vardas262      Pavarde262     4.60                
Vardas257      Pavarde257     3.93                
Vardas894      Pavarde894     3.20                
Vardas255      Pavarde255     4.80                
Vardas25       Pavarde25      3.73                
Vardas245      Pavarde245     2.87                
Vardas240      Pavarde240     3.07                
Vardas899      Pavarde899     2.93                
Vardas9        Pavarde9       3.47                
Vardas24       Pavarde24      4.67                
Vardas238      Pavarde238     4.93                
Vardas901      Pavarde901     3.93                
Vardas237      Pavarde237     4.47                
Vardas903      Pavarde903     3.40                
Vardas236      Pavarde236     4.13                
Vardas230      Pavarde230     3.80                
Vardas222      Pavarde222     4.53                
Vardas907      Pavarde907     4.60                
Vardas220      Pavarde220     4.60                
Vardas217      Pavarde217     4.53                
Vardas91       Pavarde91      4.00                
Vardas910      Pavarde910     3.20                
Vardas216      Pavarde216     3.73                
Vardas215      Pavarde215     3.07                
Vardas21       Pavarde21      3.67                
Vardas914      Pavarde914     2.20                
Vardas915      Pavarde915     4.13                
Vardas916      Pavarde916     4.40                
Vardas209      Pavarde209     3.40                
Vardas918      Pavarde918     4.33                
Vardas207      Pavarde207     4.87                
Vardas205      Pavarde205     4.27                
Vardas920      Pavarde920     2.73                
Vardas921      Pavarde921     4.33                
Vardas201      Pavarde201     2.20                
Vardas923      Pavarde923     4.27                
Vardas200      Pavarde200     3.00                
Vardas20       Pavarde20      4.67                
Vardas926      Pavarde926     4.07                
Vardas2        Pavarde2       4.00                
Vardas928      Pavarde928     2.33                
Vardas929      Pavarde929     2.93                
Vardas93       Pavarde93      3.47                
Vardas199      Pavarde199     4.40                
Vardas931      Pavarde931     2.27                
Vardas198      Pavarde198     3.13                
Vardas196      Pavarde196     4.80                
Vardas934      Pavarde934     2.33                
Vardas935      Pavarde935     2.93                
Vardas936      Pavarde936     2.67                
Vardas937      Pavarde937     2.87                
Vardas938      Pavarde938     4.40                
Vardas19       Pavarde19      3.33                
Vardas94       Pavarde94      3.80                
Vardas189      Pavarde189     4.47                
Vardas941      Pavarde941     3.87                
Vardas185      Pavarde185     4.67                
Vardas943      Pavarde943     2.33                
Vardas944      Pavarde944     3.33                
Vardas184      Pavarde184     2.80                
Vardas946      Pavarde946     2.60                
Vardas183      Pavarde183     3.20                
Vardas181      Pavarde181     4.00                
Vardas949      Pavarde949     4.20                
Vardas95       Pavarde95      3.07                
Vardas179      Pavarde179     3.20                
Vardas178      Pavarde178     2.07                
Vardas176      Pavarde176     3.67                
Vardas174      Pavarde174     3.00                
Vardas168      Pavarde168     2.93                
Vardas165      Pavarde165     3.07                
Vardas164      Pavarde164     4.60                
Vardas162      Pavarde162     3.93                
Vardas161      Pavarde161     4.27                
Vardas959      Pavarde959     2.67                
Vardas160      Pavarde160     4.00                
Vardas16       Pavarde16      3.73                
Vardas159      Pavarde159     4.93                
Vardas156      Pavarde156     2.27                
Vardas963      Pavarde963     4.27                
Vardas154      Pavarde154     3.27                
Vardas152      Pavarde152     3.33                
Vardas966      Pavarde966     4.80                
Vardas151      Pavarde151     1.87                
Vardas150      Pavarde150     2.93                
Vardas969      Pavarde969     4.53                
Vardas149      Pavarde149     2.27                
Vardas148      Pavarde148     3.53                
Vardas144      Pavarde144     2.00                
Vardas972      Pavarde972     4.27                
Vardas143      Pavarde143     2.20                
Vardas140      Pavarde140     4.73                
Vardas139      Pavarde139     4.13                
Vardas138      Pavarde138     2.73                
Vardas977      Pavarde977     3.67                
Vardas137      Pavarde137     3.47                
Vardas979      Pavarde979     4.53                
Vardas98       Pavarde98      3.47                
Vardas134      Pavarde134     4.80                
Vardas133      Pavarde133     4.87                
Vardas982      Pavarde982     3.53                
Vardas131      Pavarde131     4.13                
Vardas128      Pavarde128     2.87                
Vardas125      Pavarde125     2.53                
Vardas986      Pavarde986     3.00                
Vardas124      Pavarde124     3.40                
Vardas988      Pavarde988     2.87                
Vardas123      Pavarde123     4.00                
Vardas122      Pavarde122     4.07                
Vardas990      Pavarde990     3.60                
Vardas113      Pavarde113     4.87                
Vardas992      Pavarde992     4.53                
Vardas111      Pavarde111     2.80                
Vardas994      Pavarde994     3.93                
Vardas995      Pavarde995     3.53                
Vardas996      Pavarde996     3.13                
Vardas103      Pavarde103     4.13                
Vardas1000     Pavarde1000    4.20                
Vardas100      Pavarde100     4.33                
